raw_label,clean_label
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant lung histopathology.,Malignant lung histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant colon histopathology.,Malignant colon histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant lung histopathology.,Malignant lung histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant colon histopathology.,Malignant colon histopathology
Malignant colon histopathology.,Malignant colon histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant colon histopathology.,Malignant colon histopathology
Malignant colon histopathology.,Malignant colon histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Malignant prostate histopathology.,Malignant prostate histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Inflammatory bowel disease histopathology.,Inflammatory bowel disease histopathology
Metastatic liver histopathology.,Metastatic liver histopathology
Breast hyperplasia without atypia histopathology.,Breast hyperplasia without atypia histopathology
Mammary Paget's disease histopathology.,Mammary Paget's disease histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Ductal carcinoma in situ histopathology.,Ductal carcinoma in situ histopathology
Malignant breast histopathology.,Malignant breast histopathology
Metastatic breast histopathology.,Metastatic breast histopathology
Inflammatory breast histopathology.,Inflammatory breast histopathology
Breast hyperplasia with atypia histopathology.,Breast hyperplasia with atypia histopathology
Breast hyperplasia with atypia histopathology.,Breast hyperplasia with atypia histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Breast hyperplasia with atypia histopathology.,Breast hyperplasia with atypia histopathology
Inflammatory breast histopathology.,Inflammatory breast histopathology
Breast hyperplasia with atypia histopathology.,Breast hyperplasia with atypia histopathology
Mammary Paget's disease histopathology.,Mammary Paget's disease histopathology
Invasive lobular carcinoma histopathology.,Invasive lobular carcinoma histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Ductal carcinoma in situ histopathology.,Ductal carcinoma in situ histopathology
Breast hyperplasia with atypia histopathology.,Breast hyperplasia with atypia histopathology
Mammary Paget's disease histopathology.,Mammary Paget's disease histopathology
Invasive lobular carcinoma histopathology.,Invasive lobular carcinoma histopathology
Breast hyperplasia with atypia histopathology.,Breast hyperplasia with atypia histopathology
Metastatic breast histopathology.,Metastatic breast histopathology
Metastatic breast histopathology.,Metastatic breast histopathology
Mammographic abnormality.,Mammographic abnormality
Breast cyst.,Breast cyst
Breast cyst.,Breast cyst
Ductal carcinoma in situ (DCIS).,Ductal carcinoma in situ (DCIS)
Inflammatory breast histopathology.,Inflammatory breast histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Non-cancerous breast tissue.,Non-cancerous breast tissue
Malignant breast histopathology.,Malignant breast histopathology
Non-cancerous breast tissue.,Non-cancerous breast tissue
Breast cyst.,Breast cyst
Breast cyst.,Breast cyst
Breast abscess.,Breast abscess
Malignant breast histopathology.,Malignant breast histopathology
Breast abscess.,Breast abscess
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Non-cancerous breast tissue.,Non-cancerous breast tissue
Breast cyst.,Breast cyst
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Non-cancerous breast tissue.,Non-cancerous breast tissue
Malignant breast histopathology.,Malignant breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Ductal carcinoma in situ (DCIS).,Ductal carcinoma in situ (DCIS)
Non-cancerous breast tissue.,Non-cancerous breast tissue
Malignant breast histopathology.,Malignant breast histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Mammographic abnormality.,Mammographic abnormality
Inflammatory breast histopathology.,Inflammatory breast histopathology
Ductal carcinoma in situ (DCIS).,Ductal carcinoma in situ (DCIS)
Breast abscess.,Breast abscess
Mammographic abnormality.,Mammographic abnormality
Metastatic breast histopathology.,Metastatic breast histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Non-cancerous breast tissue.,Non-cancerous breast tissue
Ductal carcinoma in situ (DCIS).,Ductal carcinoma in situ (DCIS)
Metastatic breast histopathology.,Metastatic breast histopathology
Inflammatory breast histopathology.,Inflammatory breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Breast abscess.,Breast abscess
Malignant breast histopathology.,Malignant breast histopathology
Fibrocystic breast histopathology.,Fibrocystic breast histopathology
Malignant breast histopathology.,Malignant breast histopathology
Breast abscess.,Breast abscess
Malignant breast histopathology.,Malignant breast histopathology
Metastatic breast histopathology.,Metastatic breast histopathology
The lungs in the image are enlarged and congested.,Enlarged and congested
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
The lungs appear diseased and abnormal.,Diseased and abnormal
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs in the image show signs of infection and inflammation.,Infection and inflammation
The lungs appear scarred and weakened.,Scarred and weakened
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
The lungs in the image show signs of infection and inflammation.,Infection and inflammation
The lungs appear diseased and abnormal.,Diseased and abnormal
The lungs appear diseased and abnormal.,Diseased and abnormal
"The lungs in the image appear fibrotic and stiff, indicating a lung disease.",Lung disease
The lungs appear scarred and weakened.,Scarred and weakened
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
"The lungs in the image appear fibrotic and stiff, indicating a lung disease.",Lung disease
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
The lungs appear diseased and abnormal.,Diseased and abnormal
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs in the image show signs of infection and inflammation.,Infection and inflammation
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The lungs appear scarred and weakened.,Scarred and weakened
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs appear scarred and weakened.,Scarred and weakened
The image displays lungs with collapsed and collapsed airways.,With collapsed and collapsed airways
The lungs appear diseased and abnormal.,Diseased and abnormal
"The lungs in the image appear fibrotic and stiff, indicating a lung disease.",Lung disease
The image displays lungs with collapsed and collapsed airways.,With collapsed and collapsed airways
The image displays lungs with collapsed and collapsed airways.,With collapsed and collapsed airways
The lungs appear scarred and weakened.,Scarred and weakened
The lungs appear scarred and weakened.,Scarred and weakened
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
"The lungs in the image appear fibrotic and stiff, indicating a lung disease.",Lung disease
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
"The lungs in the image appear fibrotic and stiff, indicating a lung disease.",Lung disease
The lungs appear diseased and abnormal.,Diseased and abnormal
The lungs in the image are enlarged and congested.,Enlarged and congested
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The lungs in the image show signs of infection and inflammation.,Infection and inflammation
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
The lungs appear diseased and abnormal.,Diseased and abnormal
The lungs in the image show signs of infection and inflammation.,Infection and inflammation
The lungs appear diseased and abnormal.,Diseased and abnormal
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The lungs in the image are enlarged and congested.,Enlarged and congested
The lungs appear diseased and abnormal.,Diseased and abnormal
The lungs in the image are enlarged and congested.,Enlarged and congested
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
The lungs in the image show signs of infection and inflammation.,Infection and inflammation
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
The lungs in the image are enlarged and congested.,Enlarged and congested
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
"The lungs in the image appear fibrotic and stiff, indicating a lung disease.",Lung disease
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
The lungs appear scarred and weakened.,Scarred and weakened
The lungs appear diseased and abnormal.,Diseased and abnormal
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs appear diseased and abnormal.,Diseased and abnormal
The image displays lungs with collapsed and collapsed airways.,With collapsed and collapsed airways
The lungs appear diseased and abnormal.,Diseased and abnormal
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
The image shows damaged and non-functional lungs.,Damaged and non-functional lungs
"The lungs in the image appear fibrotic and stiff, indicating a lung disease.",Lung disease
The image depicts lungs with tumors and cancerous growths.,With tumors and cancerous growths
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs in the image are enlarged and congested.,Enlarged and congested
The lungs appear scarred and weakened.,Scarred and weakened
The image displays lungs with collapsed and collapsed airways.,With collapsed and collapsed airways
The lungs in the image are enlarged and congested.,Enlarged and congested
The lungs appear scarred and weakened.,Scarred and weakened
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs in the image show signs of infection and inflammation.,Infection and inflammation
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs in the image are enlarged and congested.,Enlarged and congested
The image shows lungs with fluid accumulation and pulmonary edema.,With fluid accumulation and pulmonary edema
The lungs appear diseased and abnormal.,Diseased and abnormal
The lungs appear emphysematous and filled with air pockets.,Emphysematous and filled with air pockets
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
COVID-19 infection.,COVID-19 infection
"No, the image is too low quality to accurately detect abnormalities.",Can't tell abnormality
"Yes, there are multiple abnormalities detected in this image.",Abnormalities present
The image is too blurry to determine if there are any abnormalities.,Can't tell abnormality
"The image shows a slight abnormality, but it is likely insignificant.",Slight abnormality
"Yes, there are multiple abnormalities detected in this image.",Abnormalities present
"Yes, there are multiple abnormalities detected in this image.",Abnormalities present
"No, the image is too low quality to accurately detect abnormalities.",Can't tell abnormality
"The image shows a slight abnormality, but it is likely insignificant.",Slight abnormality
"The image appears normal, but further testing is needed to confirm.","The image appears normal, but further testing is needed to confirm"
"Yes, there are multiple abnormalities detected in this image.",Abnormalities present
"No, the image is too low quality to accurately detect abnormalities.",Can't tell abnormality
COVID. Lungs will be affected.,COVID. 
Bronchitis. Lungs will be affected.,Bronchitis. 
COVID. Lungs will be affected.,COVID. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
Eczema. Lungs will be affected.,Eczema. 
Eczema. Lungs will be affected.,Eczema. 
Eczema. Lungs will be affected.,Eczema. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Asthma. Lungs will be affected.,Asthma. 
Gastritis. Lungs will be affected.,Gastritis. 
Sinusitis. Lungs will be affected.,Sinusitis. 
COVID. Lungs will be affected.,COVID. 
Asthma. Lungs will be affected.,Asthma. 
Eczema. Lungs will be affected.,Eczema. 
Influenza. Lungs will be affected.,Influenza. 
Sinusitis. Lungs will be affected.,Sinusitis. 
COVID. Lungs will be affected.,COVID. 
COVID. Lungs will be affected.,COVID. 
COVID. Lungs will be affected.,COVID. 
Influenza. Lungs will be affected.,Influenza. 
Asthma. Lungs will be affected.,Asthma. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Eczema. Lungs will be affected.,Eczema. 
Meningitis. Lungs will be affected.,Meningitis. 
Influenza. Lungs will be affected.,Influenza. 
Tuberculosis. Lungs will be affected.,Tuberculosis. 
COVID. Lungs will be affected.,COVID. 
Gastritis. Lungs will be affected.,Gastritis. 
Asthma. Lungs will be affected.,Asthma. 
Asthma. Lungs will be affected.,Asthma. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Asthma. Lungs will be affected.,Asthma. 
COVID. Lungs will be affected.,COVID. 
Tuberculosis. Lungs will be affected.,Tuberculosis. 
Eczema. Lungs will be affected.,Eczema. 
Gastritis. Lungs will be affected.,Gastritis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Meningitis. Lungs will be affected.,Meningitis. 
COVID. Lungs will be affected.,COVID. 
Meningitis. Lungs will be affected.,Meningitis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Asthma. Lungs will be affected.,Asthma. 
Meningitis. Lungs will be affected.,Meningitis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Pneumonia. Lungs will be affected.,Pneumonia. 
COVID. Lungs will be affected.,COVID. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Eczema. Lungs will be affected.,Eczema. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Asthma. Lungs will be affected.,Asthma. 
Asthma. Lungs will be affected.,Asthma. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
COVID. Lungs will be affected.,COVID. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
Gastritis. Lungs will be affected.,Gastritis. 
COVID. Lungs will be affected.,COVID. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Bronchitis. Lungs will be affected.,Bronchitis. 
COVID. Lungs will be affected.,COVID. 
Eczema. Lungs will be affected.,Eczema. 
Influenza. Lungs will be affected.,Influenza. 
COVID. Lungs will be affected.,COVID. 
Asthma. Lungs will be affected.,Asthma. 
Gastritis. Lungs will be affected.,Gastritis. 
COVID. Lungs will be affected.,COVID. 
COVID. Lungs will be affected.,COVID. 
Influenza. Lungs will be affected.,Influenza. 
COVID. Lungs will be affected.,COVID. 
Eczema. Lungs will be affected.,Eczema. 
Asthma. Lungs will be affected.,Asthma. 
COVID. Lungs will be affected.,COVID. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Eczema. Lungs will be affected.,Eczema. 
Gastritis. Lungs will be affected.,Gastritis. 
Eczema. Lungs will be affected.,Eczema. 
Gastritis. Lungs will be affected.,Gastritis. 
COVID. Lungs will be affected.,COVID. 
Asthma. Lungs will be affected.,Asthma. 
Tuberculosis. Lungs will be affected.,Tuberculosis. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
COVID. Lungs will be affected.,COVID. 
Meningitis. Lungs will be affected.,Meningitis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Sinusitis. Lungs will be affected.,Sinusitis. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
COVID. Lungs will be affected.,COVID. 
Meningitis. Lungs will be affected.,Meningitis. 
Sinusitis. Lungs will be affected.,Sinusitis. 
Tuberculosis. Lungs will be affected.,Tuberculosis. 
COVID. Lungs will be affected.,COVID. 
Tuberculosis. Lungs will be affected.,Tuberculosis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
COVID. Lungs will be affected.,COVID. 
Eczema. Lungs will be affected.,Eczema. 
Influenza. Lungs will be affected.,Influenza. 
Asthma. Lungs will be affected.,Asthma. 
COVID. Lungs will be affected.,COVID. 
Gastritis. Lungs will be affected.,Gastritis. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Eczema. Lungs will be affected.,Eczema. 
Gastritis. Lungs will be affected.,Gastritis. 
Bronchitis. Lungs will be affected.,Bronchitis. 
Asthma. Lungs will be affected.,Asthma. 
Mononucleosis. Lungs will be affected.,Mononucleosis. 
COVID. Lungs will be affected.,COVID. 
Sinusitis. Lungs will be affected.,Sinusitis. 
COVID. Lungs will be affected.,COVID. 
COVID. Lungs will be affected.,COVID. 
Pneumonia. Lungs will be affected.,Pneumonia. 
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Viral_Pneumonia.,Viral_Pneumonia
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
Inflammatory.,Inflammatory
